question,prompt,generated_text,pred_answer,gold_answer,is_correct
Which of the following is the reason for quoting Jonathan Ive?,"Question: Which of the following is the reason for quoting Jonathan Ive? 

Options:
A) The author thinks Steve Job is the best when it comes to creativity.
B) The author is inspired by Steve Job's attitude towards new ideas.
C) The author respects Steve Job because he is creative and he likes ideas.
D) The author thinks Steve Job has ideas that are strong and powerful and are hard to miss.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Which of the following is the reason for quoting Jonathan Ive? 

Options:
A) The author thinks Steve Job is the best when it comes to creativity.
B) The author is inspired by Steve Job's attitude towards new ideas.
C) The author respects Steve Job because he is creative and he likes ideas.
D) The author thinks Steve Job has ideas that are strong and powerful and are hard to miss.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
What is the core argument that the author put forward?,"Question: What is the core argument that the author put forward? 

Options:
A) Dismissing ideas is an effortless thing to do so you should always protect ideas carefully.
B) The right idea always starts from a wrong idea and you need to protect it from being dismissed.
C) One should be careful when it comes to judge a new idea.
D) Every idea, whether powerful or fragile deserves five minutes

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the core argument that the author put forward? 

Options:
A) Dismissing ideas is an effortless thing to do so you should always protect ideas carefully.
B) The right idea always starts from a wrong idea and you need to protect it from being dismissed.
C) One should be careful when it comes to judge a new idea.
D) Every idea, whether powerful or fragile deserves five minutes

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
Which of the following is NOT suitable for bungee jumping?,"Question: Which of the following is NOT suitable for bungee jumping? 

Options:
A) The fixed-wing aircraft
B) The helicopter
C) The hot-air balloon
D) The mobile crane

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Which of the following is NOT suitable for bungee jumping? 

Options:
A) The fixed-wing aircraft
B) The helicopter
C) The hot-air balloon
D) The mobile crane

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
The purpose of writing this passage is to  _  .,"Question: The purpose of writing this passage is to  _  . 

Options:
A) teach people how to carry out a bungee jumping
B) remind people of the danger of bungee jumping
C) advise people not to take the risk of bungee jumping
D) introduce some knowledge about bungee jumping

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The purpose of writing this passage is to  _  . 

Options:
A) teach people how to carry out a bungee jumping
B) remind people of the danger of bungee jumping
C) advise people not to take the risk of bungee jumping
D) introduce some knowledge about bungee jumping

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,D,True
55. The clothes which you buy from the supermarket are called    _    clothes.,"Question: 55. The clothes which you buy from the supermarket are called    _    clothes. 

Options:
A) tailor-made
B) ready-made
C) hand-made
D) mass production

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: 55. The clothes which you buy from the supermarket are called    _    clothes. 

Options:
A) tailor-made
B) ready-made
C) hand-made
D) mass production

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
"56. If you come to England, bring both a raincoat and an umbrella because   _           .","Question: 56. If you come to England, bring both a raincoat and an umbrella because   _           . 

Options:
A) there is a lot of rain in England
B) there are few umbrellas in the country
C) gentlemen usually carry umbrellas with them in England
D) walking with an umbrella in hand is popular in England

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: 56. If you come to England, bring both a raincoat and an umbrella because   _           . 

Options:
A) there is a lot of rain in England
B) there are few umbrellas in the country
C) gentlemen usually carry umbrellas with them in England
D) walking with an umbrella in hand is popular in England

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,A,False
"57. On back of a watch we can often see the word ""water-proof"". The word means_.","Question: 57. On back of a watch we can often see the word ""water-proof"". The word means_. 

Options:
A) water won't get into the watch
B) you can put water into the watch
C) not putting the watch into water
D) you can see the watch clearly in water

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: 57. On back of a watch we can often see the word ""water-proof"". The word means_. 

Options:
A) water won't get into the watch
B) you can put water into the watch
C) not putting the watch into water
D) you can see the watch clearly in water

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
58. What do you think is the best title for the article?,"Question: 58. What do you think is the best title for the article? 

Options:
A) The Forms of Compound Words.
B) Compound Words in Everyday Life
C) How to Use Compound Words.
D) Water-proof Cloth in the Best.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: 58. What do you think is the best title for the article? 

Options:
A) The Forms of Compound Words.
B) Compound Words in Everyday Life
C) How to Use Compound Words.
D) Water-proof Cloth in the Best.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
Kennedy's story mainly tells us that we should  _  .,"Question: Kennedy's story mainly tells us that we should  _  . 

Options:
A) work hard
B) smile at life
C) have dreams
D) thank our parents

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Kennedy's story mainly tells us that we should  _  . 

Options:
A) work hard
B) smile at life
C) have dreams
D) thank our parents

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
China's opening-up dates back to   _  .,"Question: China's opening-up dates back to   _  . 

Options:
A) the 1960s
B) the 1970s
C) the 1980s
D) the 1990s

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: China's opening-up dates back to   _  . 

Options:
A) the 1960s
B) the 1970s
C) the 1980s
D) the 1990s

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
All of the following EXCEPT   _   are keywords in representing the fashion of our generation.,"Question: All of the following EXCEPT   _   are keywords in representing the fashion of our generation. 

Options:
A) traditional brands
B) international brands
C) personal dress
D) special stories

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: All of the following EXCEPT   _   are keywords in representing the fashion of our generation. 

Options:
A) traditional brands
B) international brands
C) personal dress
D) special stories

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,D,True
The fact that many luxury brands have flocked into China shows that   _  .,"Question: The fact that many luxury brands have flocked into China shows that   _  . 

Options:
A) China has given up its own culture
B) Chinese have been tired of array of vivid colors in the markets
C) Chinese have increased their disposable income and purchasing power
D) China has grown tired of its traditional brands

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The fact that many luxury brands have flocked into China shows that   _  . 

Options:
A) China has given up its own culture
B) Chinese have been tired of array of vivid colors in the markets
C) Chinese have increased their disposable income and purchasing power
D) China has grown tired of its traditional brands

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
"From what Cody said, we can learn the children   _  .","Question: From what Cody said, we can learn the children   _  . 

Options:
A) were not in front of their father
B) don't look after their father
C) foresaw their father would go
D) surrounded their father

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: From what Cody said, we can learn the children   _  . 

Options:
A) were not in front of their father
B) don't look after their father
C) foresaw their father would go
D) surrounded their father

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
How many jobs did Kenneth get?,"Question: How many jobs did Kenneth get? 

Options:
A) Four.
B) Three.
C) Two.
D) One.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: How many jobs did Kenneth get? 

Options:
A) Four.
B) Three.
C) Two.
D) One.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,A,True
"According to the passage, we can know that Alice   _  .","Question: According to the passage, we can know that Alice   _  . 

Options:
A) felt comfortable when she grew no longer
B) was afraid when the Rabbit called out to her
C) knew what would happen to her if she continued to grow
D) saw a label ""DRINK ME"" on the bottle and drank half of it

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the passage, we can know that Alice   _  . 

Options:
A) felt comfortable when she grew no longer
B) was afraid when the Rabbit called out to her
C) knew what would happen to her if she continued to grow
D) saw a label ""DRINK ME"" on the bottle and drank half of it

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,B,True
Alice grew so big because she   _  .,"Question: Alice grew so big because she   _  . 

Options:
A) had special magical power
B) wore the Rabbit's gloves.
C) drank something in the bottle
D) wanted to frighten the Rabbit

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Alice grew so big because she   _  . 

Options:
A) had special magical power
B) wore the Rabbit's gloves.
C) drank something in the bottle
D) wanted to frighten the Rabbit

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
The passage may come from a(an)   _  .,"Question: The passage may come from a(an)   _  . 

Options:
A) science book
B) wildlife magazine
C) guide book
D) English novel

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage may come from a(an)   _  . 

Options:
A) science book
B) wildlife magazine
C) guide book
D) English novel

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
.How did people feel when Tom appeared at his own funeral ?,"Question: .How did people feel when Tom appeared at his own funeral ? 

Options:
A) They were surprised and happy.
B) They were surprised and sad
C) They were worried and excited.
D) They were frightened and happy.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: .How did people feel when Tom appeared at his own funeral ? 

Options:
A) They were surprised and happy.
B) They were surprised and sad
C) They were worried and excited.
D) They were frightened and happy.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,A,False
.The whole book is mainly about   _   .,"Question: .The whole book is mainly about   _   . 

Options:
A) freedom and social rules
B) children's bad behaviour
C) the growth of young children
D) strangers in American small towns

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: .The whole book is mainly about   _   . 

Options:
A) freedom and social rules
B) children's bad behaviour
C) the growth of young children
D) strangers in American small towns

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
.The writer writes the article to   _  .,"Question: .The writer writes the article to   _  . 

Options:
A) ask us to read the book
B) tell us how popular the book is today
C) tell us when Mark Twain wrote the story
D) tell us why the story sounds very real

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: .The writer writes the article to   _  . 

Options:
A) ask us to read the book
B) tell us how popular the book is today
C) tell us when Mark Twain wrote the story
D) tell us why the story sounds very real

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,A,True
"According to the passage, persuasion means   _  .","Question: According to the passage, persuasion means   _  . 

Options:
A) changing others' points of view
B) exercising power over other people
C) getting other people to consider your point of view
D) getting people to agree with you and do what you want

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the passage, persuasion means   _  . 

Options:
A) changing others' points of view
B) exercising power over other people
C) getting other people to consider your point of view
D) getting people to agree with you and do what you want

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
The passage states that some people object to persuasion because they think it is   _  .,"Question: The passage states that some people object to persuasion because they think it is   _  . 

Options:
A) a danger to society
B) difficult to do well
C) unwelcome behavior
D) never successful

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage states that some people object to persuasion because they think it is   _  . 

Options:
A) a danger to society
B) difficult to do well
C) unwelcome behavior
D) never successful

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
The passage mainly discusses   _  .,"Question: The passage mainly discusses   _  . 

Options:
A) that people persuade to get what they want
B) that people persuade in different ways
C) that persuasion is widely accepted and appreciated
D) that persuasion is important and it is all around us

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage mainly discusses   _  . 

Options:
A) that people persuade to get what they want
B) that people persuade in different ways
C) that persuasion is widely accepted and appreciated
D) that persuasion is important and it is all around us

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
The speaker of the passage is most probably   _  .,"Question: The speaker of the passage is most probably   _  . 

Options:
A) the author of 25 New Takes
B) a tourist in the cinema bookstore
C) the manager of the cinema bookstore
D) a reader of Encyclopedia of Indian Cinema

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The speaker of the passage is most probably   _  . 

Options:
A) the author of 25 New Takes
B) a tourist in the cinema bookstore
C) the manager of the cinema bookstore
D) a reader of Encyclopedia of Indian Cinema

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,C,False
The purpose of the speaker is   _  .,"Question: The purpose of the speaker is   _  . 

Options:
A) to satisfy the customers' various tastes
B) to keep the authors in the cinema bookstore
C) to offer the tourists chances to meet the film stars
D) to turn the readers into film producers

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The purpose of the speaker is   _  . 

Options:
A) to satisfy the customers' various tastes
B) to keep the authors in the cinema bookstore
C) to offer the tourists chances to meet the film stars
D) to turn the readers into film producers

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
These rare butterflies usually live in  _  .,"Question: These rare butterflies usually live in  _  . 

Options:
A) Eastern Europe
B) Norfolk,Suffolk and Kent
C) coastal areas
D) Sevenoaks,Kent

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: These rare butterflies usually live in  _  . 

Options:
A) Eastern Europe
B) Norfolk,Suffolk and Kent
C) coastal areas
D) Sevenoaks,Kent

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,A,False
The annual Big Butterfly Count is Intended to  _  .,"Question: The annual Big Butterfly Count is Intended to  _  . 

Options:
A) inspire amateurs'studying interest
B) teach people to do good gardening
C) study butterflies across Britain
D) celebrate naturalists'contributions

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The annual Big Butterfly Count is Intended to  _  . 

Options:
A) inspire amateurs'studying interest
B) teach people to do good gardening
C) study butterflies across Britain
D) celebrate naturalists'contributions

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
What's the main idea of the text?,"Question: What's the main idea of the text? 

Options:
A) Butterflies are quite rare in Britain.
B) Butterflies like travelling frequently.
C) A rare butterfly appeared in Britain.
D) The butterfly world changed a lot.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What's the main idea of the text? 

Options:
A) Butterflies are quite rare in Britain.
B) Butterflies like travelling frequently.
C) A rare butterfly appeared in Britain.
D) The butterfly world changed a lot.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
Luca read widely to   _  .,"Question: Luca read widely to   _  . 

Options:
A) get information about the great inventions
B) get clear ideas about the island for vacations
C) seek massages about the secret club of inventions
D) get more knowledge for the benefit of his inventions

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Luca read widely to   _  . 

Options:
A) get information about the great inventions
B) get clear ideas about the island for vacations
C) seek massages about the secret club of inventions
D) get more knowledge for the benefit of his inventions

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,C,False
Luca and other brilliant inventors around him shared a dream of   _  .,"Question: Luca and other brilliant inventors around him shared a dream of   _  . 

Options:
A) being great inventors of worldwide fame
B) being accepted as members of the Island of Inventions
C) being inventors envied by members of the Island of Inventions
D) being remembered for the contribution to scientific development

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Luca and other brilliant inventors around him shared a dream of   _  . 

Options:
A) being great inventors of worldwide fame
B) being accepted as members of the Island of Inventions
C) being inventors envied by members of the Island of Inventions
D) being remembered for the contribution to scientific development

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
"What is the effect of their not being given ""the letter""?","Question: What is the effect of their not being given ""the letter""? 

Options:
A) They were disappointed, while it encouraged them to work harder.
B) They became desperate and decided to have another way of living.
C) They changed their strategy and promote their inventions publicly.
D) They gave up their dream while continued their inventions together.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the effect of their not being given ""the letter""? 

Options:
A) They were disappointed, while it encouraged them to work harder.
B) They became desperate and decided to have another way of living.
C) They changed their strategy and promote their inventions publicly.
D) They gave up their dream while continued their inventions together.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
"The writer mentions details such as Father Christmas's sledge, the reindeer and the way he climbs down chimneys because he/she  _","Question: The writer mentions details such as Father Christmas's sledge, the reindeer and the way he climbs down chimneys because he/she  _ 

Options:
A) wants to make it clear that these things are impossible
B) is describing the history of St Nicholas
C) wants everyone to believe that Father Christmas is real
D) is explaining the modern legend of Father Christmas

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The writer mentions details such as Father Christmas's sledge, the reindeer and the way he climbs down chimneys because he/she  _ 

Options:
A) wants to make it clear that these things are impossible
B) is describing the history of St Nicholas
C) wants everyone to believe that Father Christmas is real
D) is explaining the modern legend of Father Christmas

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
Why does the writer mention the story about St Nicholas helping three poor girls?,"Question: Why does the writer mention the story about St Nicholas helping three poor girls? 

Options:
A) It shows us that historians know very little about him.
B) This story explains why parents give secret presents to children.
C) It supports the writer's main point that Father Christmas is based on an untrue story.
D) This story explains why we celebrate Christmas in December.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Why does the writer mention the story about St Nicholas helping three poor girls? 

Options:
A) It shows us that historians know very little about him.
B) This story explains why parents give secret presents to children.
C) It supports the writer's main point that Father Christmas is based on an untrue story.
D) This story explains why we celebrate Christmas in December.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,B,False
The best title for this passage would be  _  .,"Question: The best title for this passage would be  _  . 

Options:
A) Is Father Christmas Dangerous?
B) The True History of St Nicholas
C) The Legend of Santa Claus
D) The Traditions of Christmas

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The best title for this passage would be  _  . 

Options:
A) Is Father Christmas Dangerous?
B) The True History of St Nicholas
C) The Legend of Santa Claus
D) The Traditions of Christmas

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
According to the passage we can see that_.,"Question: According to the passage we can see that_. 

Options:
A) it will be difficult for the normal persons to get into the public buildings
B) the buildings of all the businesses will have to be changed
C) Most businesses used to offer special services to people who have special needs
D) it was difficult for the disabled workers to find jobs in the past

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the passage we can see that_. 

Options:
A) it will be difficult for the normal persons to get into the public buildings
B) the buildings of all the businesses will have to be changed
C) Most businesses used to offer special services to people who have special needs
D) it was difficult for the disabled workers to find jobs in the past

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
Ramps can help people_.,"Question: Ramps can help people_. 

Options:
A) with hearing problems
B) who have difficulty in using their hands
C) who have difficulty in using their legs or feet
D) who don't like stairs

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Ramps can help people_. 

Options:
A) with hearing problems
B) who have difficulty in using their hands
C) who have difficulty in using their legs or feet
D) who don't like stairs

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
"The word ""Braille"" means_.","Question: The word ""Braille"" means_. 

Options:
A) words known by foreigners
B) words known by common people
C) words on walls
D) words known by the blind

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The word ""Braille"" means_. 

Options:
A) words known by foreigners
B) words known by common people
C) words on walls
D) words known by the blind

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
What do you think the disabled would feel about the new law?,"Question: What do you think the disabled would feel about the new law? 

Options:
A) They may think the new law reasonable.
B) Some of them are sure to be for the new law.
C) They must feel very excited and happy.
D) They feel it is like a dream.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What do you think the disabled would feel about the new law? 

Options:
A) They may think the new law reasonable.
B) Some of them are sure to be for the new law.
C) They must feel very excited and happy.
D) They feel it is like a dream.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,C,False
The fact that the new law has been passed shows that  _  .,"Question: The fact that the new law has been passed shows that  _  . 

Options:
A) the government has paid no attention to the disabilities
B) the government wants to help these disabilities
C) normal people show mercy to the disabilities
D) companies will hire millions of disabled people

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The fact that the new law has been passed shows that  _  . 

Options:
A) the government has paid no attention to the disabilities
B) the government wants to help these disabilities
C) normal people show mercy to the disabilities
D) companies will hire millions of disabled people

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,B,False
